Event,Date,WinningFighter,LosingFighter,Method,WeightClass,WinningFighterBirthday,LosingFighterBirthday,ChampBoutBool,GenderBool
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Rose Namajunas,Tracy Cortez,U-DEC,Women's Flyweight,"Jun 29, 1992","Dec 10, 1993",False,True
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Muslim Salikhov,Santiago Ponzinibbio,S-DEC,Welterweight,"Jun 09, 1984","Sep 26, 1986",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Jean Silva,Drew Dober,KO/TKO,Lightweight,"Dec 27, 1996","Oct 19, 1988",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Gabriel Bonfim,Ange Loosa,U-DEC,Welterweight,"Aug 20, 1997","Mar 18, 1993",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Julian Erosa,Christian Rodriguez,SUB Guillotine Choke,Featherweight,"Jul 31, 1989","Dec 17, 1997",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Abdul Razak Alhassan,Cody Brundage,CNC:No Contest,Middleweight,"Aug 11, 1985","May 16, 1994",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Charles Johnson,Joshua Van,KO/TKO Punch,Flyweight,"Jan 10, 1991","Oct 10, 2001",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Jasmine Jasudavicius,Fatima Kline,U-DEC,Women's Flyweight,"Mar 01, 1989","Jul 12, 2000",False,True
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Montel Jackson,Da'Mon Blackshear,KO/TKO Punch,Bantamweight,"Apr 24, 1992","Aug 12, 1994",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Luana Santos,Mariya Agapova,SUB Rear Naked Choke,Women's Flyweight,"Apr 16, 2000","Apr 07, 1997",False,True
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Andre Petroski,Josh Fremd,U-DEC,Middleweight,"Jun 12, 1991","Jan 15, 1994",False,False
UFC Fight Night: Namajunas vs. Cortez,"July 13, 2024",Evan Elder,Darrius Flowers,SUB Arm Triangle,Welterweight,"Apr 11, 1997","Aug 25, 1994",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Alex Pereira,Jiri Prochazka,KO/TKO Kick,Light Heavyweight,"Jul 07, 1987","Oct 14, 1992",True,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Diego Lopes,Dan Ige,U-DEC,Catch Weight,"Dec 30, 1994","Aug 06, 1991",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Roman Dolidze,Anthony Smith,U-DEC,Light Heavyweight,"Jul 15, 1988","Jul 26, 1988",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Macy Chiasson,Mayra Bueno Silva,KO/TKO,Women's Bantamweight,"Jul 27, 1991","Aug 22, 1991",False,True
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Ian Machado Garry,Michael Page,U-DEC,Welterweight,"Nov 17, 1997","Apr 07, 1987",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Joe Pyfer,Marc-Andre Barriault,KO/TKO Punch,Middleweight,"Sep 17, 1996","Feb 18, 1990",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Andre Fili,Cub Swanson,S-DEC,Featherweight,"Jun 25, 1990","Nov 02, 1983",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Jean Silva,Charles Jourdain,KO/TKO Punch,Featherweight,"Dec 27, 1996","Nov 27, 1995",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Payton Talbott,Yanis Ghemmouri,KO/TKO Punch,Bantamweight,"Sep 09, 1998","Jan 24, 1995",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Gillian Robertson,Michelle Waterson-Gomez,U-DEC,Women's Strawweight,"May 17, 1995","Jan 06, 1986",False,True
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Martin Buday,Andrei Arlovski,S-DEC,Heavyweight,"Nov 11, 1991","Feb 04, 1979",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Rei Tsuruya,Carlos Hernandez,U-DEC,Flyweight,"Jun 22, 2002","Oct 25, 1993",False,False
UFC 303: Pereira vs. Prochazka 2,"June 29, 2024",Vinicius Oliveira,Ricky Simon,U-DEC,Bantamweight,"Nov 30, 1995","Aug 31, 1992",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Robert Whittaker,Ikram Aliskerov,KO/TKO Punch,Middleweight,"Dec 20, 1990","Dec 07, 1992",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Alexander Volkov,Sergei Pavlovich,U-DEC,Heavyweight,"Oct 24, 1988","May 13, 1992",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Kelvin Gastelum,Daniel Rodriguez,U-DEC,Middleweight,"Oct 24, 1991","Dec 31, 1986",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Shara Magomedov,Antonio Trocoli,KO/TKO Punches,Middleweight,"May 16, 1994","Dec 06, 1990",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Volkan Oezdemir,Johnny Walker,KO/TKO Punch,Light Heavyweight,"Sep 19, 1989","Mar 30, 1992",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Nasrat Haqparast,Jared Gordon,S-DEC,Lightweight,"Aug 22, 1995","Sep 06, 1988",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Felipe Lima,Muhammad Naimov,SUB Rear Naked Choke,Featherweight,"May 07, 1998","Aug 07, 1994",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Rinat Fakhretdinov,Nicolas Dalby,S-DEC,Welterweight,"Sep 28, 1991","Nov 16, 1984",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Muin Gafurov,Kyung Ho Kang,U-DEC,Bantamweight,"May 17, 1996","Sep 09, 1987",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",Magomed Gadzhiyasulov,Brendson Ribeiro,M-DEC,Light Heavyweight,"Nov 04, 1993","Sep 08, 1996",False,False
UFC Fight Night: Whittaker vs. Aliskerov,"June 22, 2024",ChangHo Lee,Xiao Long,S-DEC,Bantamweight,"May 09, 1994","Apr 13, 1998",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Tatsuro Taira,Alex Perez,KO/TKO,Flyweight,"Jan 27, 2000","Mar 21, 1992",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Miles Johns,Douglas Silva de Andrade,U-DEC,Bantamweight,"Mar 30, 1994","Jun 22, 1985",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Lucas Almeida,Timmy Cuamba,U-DEC,Featherweight,"Jan 31, 1991","Feb 08, 1999",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Brady Hiestand,Garrett Armfield,SUB Rear Naked Choke,Bantamweight,"Apr 30, 1999","Oct 09, 1996",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Asu Almabayev,Jose Johnson,U-DEC,Flyweight,"Jan 25, 1994","May 20, 1995",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Adam Fugitt,Josh Quinlan,S-DEC,Welterweight,"Jan 12, 1989","Feb 06, 1993",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Nate Maness,Jimmy Flick,U-DEC,Flyweight,"Jun 27, 1991","Sep 07, 1990",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Gabriella Fernandes,Carli Judice,S-DEC,Women's Flyweight,"Aug 13, 1993","Mar 02, 1999",False,True
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Westin Wilson,Jeka Saragih,SUB Triangle Armbar,Featherweight,"Jan 24, 1989","Jan 01, 1995",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Melquizael Costa,Shayilan Nuerdanbieke,SUB Rear Naked Choke,Featherweight,"Sep 14, 1996","May 04, 1994",False,False
UFC Fight Night: Perez vs. Taira,"June 15, 2024",Josefine Knutsson,Julia Polastri,U-DEC,Women's Strawweight,"Jan 16, 1996","Mar 05, 1998",False,True
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Nassourdine Imavov,Jared Cannonier,KO/TKO Punches,Middleweight,"Mar 01, 1995","Mar 16, 1984",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Dominick Reyes,Dustin Jacoby,KO/TKO Punches,Light Heavyweight,"Dec 26, 1989","Apr 04, 1988",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Raul Rosas Jr.,Ricky Turcios,SUB Rear Naked Choke,Bantamweight,"Oct 08, 2004","Jun 05, 1993",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Brunno Ferreira,Dustin Stoltzfus,KO/TKO Spinning Back Elbow,Middleweight,"Nov 04, 1992","Nov 15, 1991",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Zach Reese,Julian Marquez,KO/TKO Punch,Middleweight,"Mar 24, 1994","May 08, 1990",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Punahele Soriano,Miguel Baeza,U-DEC,Welterweight,"Nov 22, 1992","Aug 23, 1992",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Ludovit Klein,Thiago Moises,U-DEC,Lightweight,"Feb 22, 1995","Mar 23, 1995",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Carlos Prates,Charles Radtke,KO/TKO Knee,Welterweight,"Aug 17, 1993","Jul 09, 1990",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Brad Katona,Jesse Butler,U-DEC,Bantamweight,"Dec 19, 1991","May 24, 1992",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Montana De La Rosa,Andrea Lee,S-DEC,Women's Flyweight,"Feb 14, 1995","Feb 11, 1989",False,True
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Daniel Marcos,John Castaneda,U-DEC,Bantamweight,"Mar 07, 1993","Dec 18, 1991",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Denise Gomes,Eduarda Moura,S-DEC,Women's Strawweight,"Dec 30, 1999","Feb 28, 1994",False,True
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Taylor Lapilus,Cody Stamann,U-DEC,Bantamweight,"Apr 08, 1992","Nov 09, 1989",False,False
UFC Fight Night: Cannonier vs. Imavov,"June 08, 2024",Puja Tomar,Rayanne dos Santos,S-DEC,Women's Strawweight,"Dec 05, 1993","Jun 08, 1995",False,True
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Islam Makhachev,Dustin Poirier,SUB D'Arce Choke,Lightweight,"Oct 27, 1991","Jan 19, 1989",True,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Sean Strickland,Paulo Costa,S-DEC,Middleweight,"Feb 27, 1991","Apr 21, 1991",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Kevin Holland,Michal Oleksiejczuk,SUB Armbar,Middleweight,"Nov 05, 1992","Feb 22, 1995",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Niko Price,Alex Morono,U-DEC,Welterweight,"Sep 29, 1989","Aug 16, 1990",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Randy Brown,Elizeu Zaleski dos Santos,U-DEC,Welterweight,"Jul 08, 1990","Dec 11, 1986",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Roman Kopylov,Cesar Almeida,S-DEC,Middleweight,"May 04, 1991","Mar 28, 1988",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Jailton Almeida,Alexandr Romanov,SUB Rear Naked Choke,Heavyweight,"Jun 26, 1991","Dec 11, 1990",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Grant Dawson,Joe Solecki,U-DEC,Lightweight,"Feb 20, 1994","Aug 27, 1993",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Jake Matthews,Phil Rowe,U-DEC,Welterweight,"Aug 19, 1994","Jul 18, 1990",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Bassil Hafez,Mickey Gall,U-DEC,Welterweight,"Jan 31, 1992","Jan 22, 1992",False,False
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Ailin Perez,Joselyne Edwards,U-DEC,Women's Bantamweight,"Oct 05, 1994","Sep 29, 1995",False,True
UFC 302: Makhachev vs. Poirier,"June 01, 2024",Andre Lima,Mitch Raposo,S-DEC,Flyweight,"Feb 04, 1999","Oct 16, 1998",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Lerone Murphy,Edson Barboza,U-DEC,Featherweight,"Jul 22, 1991","Jan 21, 1986",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Khaos Williams,Carlston Harris,KO/TKO Punch,Welterweight,"Mar 30, 1994","Jul 09, 1987",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Themba Gorimbo,Ramiz Brahimaj,U-DEC,Welterweight,"Jan 23, 1991","Nov 17, 1992",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Adrian Yanez,Vinicius Salvador,KO/TKO Punches,Bantamweight,"Nov 29, 1993","Jul 24, 1996",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Angela Hill,Luana Pinheiro,SUB Guillotine Choke,Women's Strawweight,"Jan 12, 1985","Nov 18, 1992",False,True
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Tom Nolan,Victor Martinez,KO/TKO Knee,Lightweight,"Mar 08, 2000","Jul 17, 1991",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Oumar Sy,Tuco Tokkos,SUB Rear Naked Choke,Light Heavyweight,"Nov 21, 1995","Jun 30, 1990",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Melissa Gatto,Tamires Vidal,KO/TKO Punch,Women's Bantamweight,"May 02, 1996","Jul 27, 1998",False,True
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Abus Magomedov,Warlley Alves,U-DEC,Middleweight,"Sep 02, 1990","Jan 04, 1991",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Ariane Carnelossi,Piera Rodriguez,DQ,Women's Strawweight,"Nov 17, 1992","Nov 11, 1992",False,True
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Alatengheili,Kleydson Rodrigues,U-DEC,Bantamweight,"Dec 14, 1991","Oct 22, 1995",False,False
UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",Vanessa Demopoulos,Emily Ducote,S-DEC,Women's Strawweight,"Sep 22, 1988","Jan 01, 1994",False,True
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Derrick Lewis,Rodrigo Nascimento,KO/TKO Punch,Heavyweight,"Feb 07, 1985","Nov 26, 1992",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Joaquin Buckley,Nursulton Ruziboev,U-DEC,Welterweight,"Apr 27, 1994","Nov 19, 1993",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Carlos Ulberg,Alonzo Menifield,KO/TKO Punches,Light Heavyweight,"Nov 07, 1990","Oct 18, 1987",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Diego Ferreira,Mateusz Rebecki,KO/TKO Punches,Lightweight,"Jan 18, 1985","Nov 03, 1992",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Sean Woodson,Alex Caceres,U-DEC,Featherweight,"Jun 07, 1992","Jun 20, 1988",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Waldo Cortes-Acosta,Robelis Despaigne,U-DEC,Heavyweight,"Oct 03, 1991","Sep 09, 1988",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Chase Hooper,Viacheslav Borshchev,SUB D'Arce Choke,Lightweight,"Sep 13, 1999","Jan 08, 1992",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Esteban Ribovics,Terrance McKinney,KO/TKO Kick,Lightweight,"Apr 27, 1996","Sep 15, 1994",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Tabatha Ricci,Tecia Pennington,S-DEC,Women's Strawweight,"Feb 21, 1995","Aug 16, 1989",False,True
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Trey Waters,Billy Ray Goff,U-DEC,Welterweight,"Feb 21, 1995","Jun 18, 1998",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Charles Johnson,Jake Hadley,U-DEC,Flyweight,"Jan 10, 1991","Aug 03, 1996",False,False
UFC Fight Night: Lewis vs. Nascimento,"May 11, 2024",Veronica Hardy,JJ Aldrich,U-DEC,Women's Flyweight,"Oct 30, 1995","Sep 29, 1992",False,True
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Alexandre Pantoja,Steve Erceg,U-DEC,Flyweight,"Apr 16, 1990","Jul 27, 1995",True,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Jose Aldo,Jonathan Martinez,U-DEC,Bantamweight,"Sep 09, 1986","Apr 20, 1994",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Anthony Smith,Vitor Petrino,SUB Guillotine Choke,Light Heavyweight,"Jul 26, 1988","Aug 28, 1997",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Michel Pereira,Ihor Potieria,SUB Guillotine Choke,Middleweight,"Oct 06, 1993","May 29, 1996",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Caio Borralho,Paul Craig,KO/TKO Punches,Middleweight,"Jan 16, 1993","Nov 27, 1987",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Joanderson Brito,Jack Shore,KO/TKO,Featherweight,"Feb 11, 1995","Feb 06, 1995",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Iasmin Lucindo,Karolina Kowalkiewicz,U-DEC,Women's Strawweight,"Jan 08, 2002","Oct 15, 1985",False,True
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Myktybek Orolbai,Elves Brener,U-DEC,Lightweight,"Feb 10, 1998","Sep 27, 1997",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Drakkar Klose,Joaquim Silva,U-DEC,Lightweight,"Mar 09, 1988","Feb 05, 1989",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Mauricio Ruffy,Jamie Mullarkey,KO/TKO Punches,Lightweight,"Jun 17, 1996","Aug 17, 1994",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Dione Barbosa,Ernesta Kareckaite,U-DEC,Women's Flyweight,"May 08, 1992","Jul 05, 1998",False,True
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Ismael Bonfim,Vinc Pichel,U-DEC,Lightweight,"Dec 28, 1995","Nov 23, 1982",False,False
UFC 301: Pantoja vs. Erceg,"May 04, 2024",Alessandro Costa,Kevin Borjas,KO/TKO Punches,Flyweight,"Jan 28, 1996","Dec 06, 1997",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Alex Perez,Matheus Nicolau,KO/TKO Punch,Flyweight,"Mar 21, 1992","Jan 06, 1993",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Bogdan Guskov,Ryan Spann,KO/TKO Punches,Light Heavyweight,"Sep 12, 1992","Aug 24, 1991",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Karine Silva,Ariane da Silva,U-DEC,Women's Flyweight,"Dec 02, 1993","Jan 26, 1994",False,True
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Jhonata Diniz,Austen Lane,KO/TKO Punch,Heavyweight,"Jun 23, 1991","Nov 09, 1987",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",David Onama,Jonathan Pearce,U-DEC,Featherweight,"Jun 07, 1994","May 01, 1992",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Uros Medic,Tim Means,KO/TKO Punch,Welterweight,"Apr 25, 1993","Feb 20, 1984",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Victor Henry,Rani Yahya,KO/TKO Punches,Bantamweight,"May 04, 1987","Sep 12, 1984",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Austin Hubbard,Michal Figlak,U-DEC,Lightweight,"Dec 22, 1991","Aug 15, 1996",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Don'Tale Mayes,Caio Machado,U-DEC,Heavyweight,"Jan 16, 1992","Jul 20, 1994",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Ketlen Souza,Marnic Mann,U-DEC,Women's Strawweight,"Aug 18, 1994","Mar 05, 1993",False,True
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Chris Padilla,James Llontop,SUB Rear Naked Choke,Lightweight,"Sep 14, 1995","Aug 02, 1999",False,False
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Ivana Petrovic,Liang Na,SUB Arm Triangle,Women's Flyweight,"Jun 11, 1994","Jul 27, 1996",False,True
UFC Fight Night: Nicolau vs. Perez,"April 27, 2024",Maheshate,Gabriel Benitez,S-DEC,Lightweight,"Dec 01, 1999","Jun 15, 1988",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Alex Pereira,Jamahal Hill,KO/TKO Punch,Light Heavyweight,"Jul 07, 1987","May 19, 1991",True,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Zhang Weili,Yan Xiaonan,U-DEC,Women's Strawweight,"Aug 13, 1989","Jun 16, 1989",True,True
UFC 300: Pereira vs. Hill,"April 13, 2024",Max Holloway,Justin Gaethje,KO/TKO Punch,Lightweight,"Dec 04, 1991","Nov 14, 1988",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Arman Tsarukyan,Charles Oliveira,S-DEC,Lightweight,"Oct 11, 1996","Oct 17, 1989",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Bo Nickal,Cody Brundage,SUB Rear Naked Choke,Middleweight,"Jan 14, 1996","May 16, 1994",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Jiri Prochazka,Aleksandar Rakic,KO/TKO Punches,Light Heavyweight,"Oct 14, 1992","Feb 06, 1992",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Aljamain Sterling,Calvin Kattar,U-DEC,Featherweight,"Jul 31, 1989","Mar 26, 1988",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Kayla Harrison,Holly Holm,SUB Rear Naked Choke,Women's Bantamweight,"Jul 02, 1990","Oct 17, 1981",False,True
UFC 300: Pereira vs. Hill,"April 13, 2024",Diego Lopes,Sodiq Yusuff,KO/TKO Punches,Featherweight,"Dec 30, 1994","May 19, 1993",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Renato Moicano,Jalin Turner,KO/TKO Punches,Lightweight,"May 21, 1989","May 18, 1995",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Jessica Andrade,Marina Rodriguez,S-DEC,Women's Strawweight,"Sep 25, 1991","Apr 29, 1987",False,True
UFC 300: Pereira vs. Hill,"April 13, 2024",Bobby Green,Jim Miller,U-DEC,Lightweight,"Sep 09, 1986","Aug 30, 1983",False,False
UFC 300: Pereira vs. Hill,"April 13, 2024",Deiveson Figueiredo,Cody Garbrandt,SUB Rear Naked Choke,Bantamweight,"Dec 18, 1987","Jul 07, 1991",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Brendan Allen,Chris Curtis,S-DEC,Middleweight,"Dec 28, 1995","Jul 15, 1987",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Damon Jackson,Alexander Hernandez,S-DEC,Featherweight,"Aug 08, 1988","Oct 01, 1992",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Chepe Mariscal,Morgan Charriere,S-DEC,Featherweight,"Oct 27, 1992","Oct 26, 1995",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Ignacio Bahamondes,Christos Giagos,KO/TKO Kick,Lightweight,"Aug 27, 1997","Jan 23, 1990",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Charlie Campbell,Trevor Peek,U-DEC,Lightweight,"Jul 03, 1995","Jan 09, 1995",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Alex Morono,Court McGee,U-DEC,Welterweight,"Aug 16, 1990","Dec 12, 1984",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Lukasz Brzeski,Valter Walker,U-DEC,Heavyweight,"May 17, 1992","Dec 14, 1997",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Norma Dumont,Germaine de Randamie,U-DEC,Women's Bantamweight,"Oct 01, 1990","Apr 24, 1984",False,True
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Victor Hugo,Pedro Falcao,U-DEC,Bantamweight,"Nov 22, 1992","Jul 30, 1992",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Jean Matsumoto,Dan Argueta,SUB Guillotine Choke,Bantamweight,"Sep 09, 1999","Aug 13, 1993",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Cesar Almeida,Dylan Budka,KO/TKO Elbows,Middleweight,"Mar 28, 1988","Jan 14, 2000",False,False
UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",Nora Cornolle,Melissa Mullins,KO/TKO Knee,Women's Bantamweight,"Dec 06, 1989","Jul 23, 1991",False,True
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Manon Fiorot,Erin Blanchfield,U-DEC,Women's Flyweight,"Feb 17, 1990","May 04, 1999",False,True
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Joaquin Buckley,Vicente Luque,KO/TKO Punches,Welterweight,"Apr 27, 1994","Nov 27, 1991",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Chris Weidman,Bruno Silva,U-DEC,Middleweight,"Jun 17, 1984","Jul 13, 1989",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Nursulton Ruziboev,Sedriques Dumas,KO/TKO Punch,Middleweight,"Nov 19, 1993","Aug 06, 1995",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Kyle Nelson,Bill Algeo,KO/TKO Punches,Featherweight,"Apr 20, 1991","Jun 09, 1989",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Chidi Njokuani,Rhys McKee,S-DEC,Welterweight,"Dec 31, 1988","Sep 10, 1995",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Nate Landwehr,Jamall Emmers,KO/TKO Punch,Featherweight,"Jun 06, 1988","Jul 24, 1989",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Virna Jandiroba,Loopy Godinez,U-DEC,Women's Strawweight,"May 30, 1988","Sep 06, 1993",False,True
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Julio Arce,Herbert Burns,KO/TKO Punch,Featherweight,"Oct 27, 1989","Feb 02, 1988",False,False
UFC Fight Night: Blanchfield vs. Fiorot,"March 30, 2024",Dennis Buzukja,Connor Matthews,KO/TKO Punch,Featherweight,"Oct 01, 1997","May 31, 1992",False,False
