Event,Date,WinningFighter,LosingFighter,Method,WeightClass,WinningFighterBirthday,LosingFighterBirthday,ChampBoutBool,GenderBool
UFC Fight Night: Sanchez vs Riggs,"December 13, 2006",Logan Clark,Steve Byrnes,U-DEC,Middleweight,"Feb 16, 1985",--,False,False
UFC 63: Hughes vs Penn,"September 23, 2006",Eddie Sanchez,Mario Neto,KO/TKO Punch,Heavyweight,"Nov 04, 1982",--,False,False
UFC 63: Hughes vs Penn,"September 23, 2006",Tyson Griffin,David Lee,SUB Rear Naked Choke,Lightweight,"Apr 20, 1984",--,False,False
UFC 62: Liddell vs Sobral,"August 26, 2006",David Heath,Cory Walmsley,SUB Rear Naked Choke,Light Heavyweight,"Feb 10, 1976",--,False,False
UFC 60: Hughes vs Gracie,"May 27, 2006",Melvin Guillard,Rick Davis,KO/TKO Punch,Lightweight,"Mar 30, 1983",--,False,False
UFC 55: Fury,"October 07, 2005",Branden Lee Hinkle,Sean Gannon,KO/TKO Punches,Heavyweight,"Jul 29, 1973",--,False,False
UFC 55: Fury,"October 07, 2005",Marcio Cruz,Keigo Kunihara,SUB Rear Naked Choke,Heavyweight,"Apr 24, 1978",--,False,False
UFC 45: Revolution,"November 21, 2003",Wesley Correira,David Abbott,KO/TKO,Heavyweight,"Nov 11, 1978",--,False,False
UFC 45: Revolution,"November 21, 2003",Keith Rockel,Chris Liguori,SUB Guillotine Choke,Middleweight,--,--,False,False
UFC 43: Meltdown,"June 06, 2003",Kimo Leopoldo,David Abbott,SUB Arm Triangle,Heavyweight,"Jan 05, 1968",--,False,False
UFC 41: Onslaught,"February 28, 2003",Frank Mir,David Abbott,SUB Toe Hold,Heavyweight,"May 24, 1979",--,False,False
UFC 35: Throwdown,"January 11, 2002",Eugene Jackson,Keith Rockel,SUB Guillotine Choke,Middleweight,"Sep 23, 1966",--,False,False
UFC 32: Showdown in the Meadowlands,"June 29, 2001",Tony DeSouza,Paul Rodriguez,SUB Guillotine Choke,Welterweight,"Jul 26, 1974",--,False,False
UFC 30: Battle on the Boardwalk,"February 23, 2001",Bobby Hoffman,Mark Robinson,Overturned:No Contest,Heavyweight,"Oct 28, 1968",--,False,False
UFC 28: High Stakes,"November 17, 2000",Jens Pulver,John Lewis,KO/TKO Punch,Lightweight,"Dec 06, 1974",--,False,False
UFC 28: High Stakes,"November 17, 2000",Mark Hughes,Alex Stiebling,U-DEC,Middleweight,"Oct 13, 1973",--,False,False
UFC 28: High Stakes,"November 17, 2000",Ben Earwood,Chris Lytle,U-DEC,Welterweight,--,"Aug 18, 1974",False,False
