FightID,Fighter,Opponent,FighterAge,OpponentAge,Outcome,WeightClass,GenderBool,ChampBoutBool
37,Tatsuro Taira,Alex Perez,24,32,1,Flyweight,False,False
37,Alex Perez,Tatsuro Taira,32,24,0,Flyweight,False,False
38,Miles Johns,Douglas Silva de Andrade,30,38,1,Bantamweight,False,False
38,Douglas Silva de Andrade,Miles Johns,38,30,0,Bantamweight,False,False
39,Lucas Almeida,Timmy Cuamba,33,25,1,Featherweight,False,False
39,Timmy Cuamba,Lucas Almeida,25,33,0,Featherweight,False,False
40,Brady Hiestand,Garrett Armfield,25,27,1,Bantamweight,False,False
40,Garrett Armfield,Brady Hiestand,27,25,0,Bantamweight,False,False
41,Asu Almabayev,Jose Johnson,30,29,1,Flyweight,False,False
41,Jose Johnson,Asu Almabayev,29,30,0,Flyweight,False,False
42,Adam Fugitt,Josh Quinlan,35,31,1,Welterweight,False,False
42,Josh Quinlan,Adam Fugitt,31,35,0,Welterweight,False,False
43,Nate Maness,Jimmy Flick,32,33,1,Flyweight,False,False
43,Jimmy Flick,Nate Maness,33,32,0,Flyweight,False,False
44,Gabriella Fernandes,Carli Judice,30,25,1,Women's Flyweight,True,False
44,Carli Judice,Gabriella Fernandes,25,30,0,Women's Flyweight,True,False
45,Westin Wilson,Jeka Saragih,35,29,1,Featherweight,False,False
45,Jeka Saragih,Westin Wilson,29,35,0,Featherweight,False,False
46,Melquizael Costa,Shayilan Nuerdanbieke,27,30,1,Featherweight,False,False
46,Shayilan Nuerdanbieke,Melquizael Costa,30,27,0,Featherweight,False,False
47,Josefine Knutsson,Julia Polastri,28,26,1,Women's Strawweight,True,False
47,Julia Polastri,Josefine Knutsson,26,28,0,Women's Strawweight,True,False
48,Nassourdine Imavov,Jared Cannonier,29,40,1,Middleweight,False,False
48,Jared Cannonier,Nassourdine Imavov,40,29,0,Middleweight,False,False
49,Dominick Reyes,Dustin Jacoby,34,36,1,Light Heavyweight,False,False
49,Dustin Jacoby,Dominick Reyes,36,34,0,Light Heavyweight,False,False
50,Raul Rosas Jr.,Ricky Turcios,19,31,1,Bantamweight,False,False
50,Ricky Turcios,Raul Rosas Jr.,31,19,0,Bantamweight,False,False
51,Brunno Ferreira,Dustin Stoltzfus,31,32,1,Middleweight,False,False
51,Dustin Stoltzfus,Brunno Ferreira,32,31,0,Middleweight,False,False
52,Zach Reese,Julian Marquez,30,34,1,Middleweight,False,False
52,Julian Marquez,Zach Reese,34,30,0,Middleweight,False,False
53,Punahele Soriano,Miguel Baeza,31,31,1,Welterweight,False,False
53,Miguel Baeza,Punahele Soriano,31,31,0,Welterweight,False,False
54,Ludovit Klein,Thiago Moises,29,29,1,Lightweight,False,False
54,Thiago Moises,Ludovit Klein,29,29,0,Lightweight,False,False
55,Carlos Prates,Charles Radtke,30,33,1,Welterweight,False,False
55,Charles Radtke,Carlos Prates,33,30,0,Welterweight,False,False
56,Brad Katona,Jesse Butler,32,32,1,Bantamweight,False,False
56,Jesse Butler,Brad Katona,32,32,0,Bantamweight,False,False
57,Montana De La Rosa,Andrea Lee,29,35,1,Women's Flyweight,True,False
57,Andrea Lee,Montana De La Rosa,35,29,0,Women's Flyweight,True,False
58,Daniel Marcos,John Castaneda,31,32,1,Bantamweight,False,False
58,John Castaneda,Daniel Marcos,32,31,0,Bantamweight,False,False
59,Denise Gomes,Eduarda Moura,24,30,1,Women's Strawweight,True,False
59,Eduarda Moura,Denise Gomes,30,24,0,Women's Strawweight,True,False
60,Taylor Lapilus,Cody Stamann,32,34,1,Bantamweight,False,False
60,Cody Stamann,Taylor Lapilus,34,32,0,Bantamweight,False,False
61,Puja Tomar,Rayanne dos Santos,30,29,1,Women's Strawweight,True,False
61,Rayanne dos Santos,Puja Tomar,29,30,0,Women's Strawweight,True,False
62,Islam Makhachev,Dustin Poirier,32,35,1,Lightweight,False,True
62,Dustin Poirier,Islam Makhachev,35,32,0,Lightweight,False,True
63,Sean Strickland,Paulo Costa,33,33,1,Middleweight,False,False
63,Paulo Costa,Sean Strickland,33,33,0,Middleweight,False,False
64,Kevin Holland,Michal Oleksiejczuk,31,29,1,Middleweight,False,False
64,Michal Oleksiejczuk,Kevin Holland,29,31,0,Middleweight,False,False
65,Niko Price,Alex Morono,34,33,1,Welterweight,False,False
65,Alex Morono,Niko Price,33,34,0,Welterweight,False,False
66,Randy Brown,Elizeu Zaleski dos Santos,33,37,1,Welterweight,False,False
66,Elizeu Zaleski dos Santos,Randy Brown,37,33,0,Welterweight,False,False
67,Roman Kopylov,Cesar Almeida,33,36,1,Middleweight,False,False
67,Cesar Almeida,Roman Kopylov,36,33,0,Middleweight,False,False
68,Jailton Almeida,Alexandr Romanov,32,33,1,Heavyweight,False,False
68,Alexandr Romanov,Jailton Almeida,33,32,0,Heavyweight,False,False
69,Grant Dawson,Joe Solecki,30,30,1,Lightweight,False,False
69,Joe Solecki,Grant Dawson,30,30,0,Lightweight,False,False
70,Jake Matthews,Phil Rowe,29,33,1,Welterweight,False,False
70,Phil Rowe,Jake Matthews,33,29,0,Welterweight,False,False
71,Bassil Hafez,Mickey Gall,32,32,1,Welterweight,False,False
71,Mickey Gall,Bassil Hafez,32,32,0,Welterweight,False,False
72,Ailin Perez,Joselyne Edwards,29,28,1,Women's Bantamweight,True,False
72,Joselyne Edwards,Ailin Perez,28,29,0,Women's Bantamweight,True,False
73,Andre Lima,Mitch Raposo,25,25,1,Flyweight,False,False
73,Mitch Raposo,Andre Lima,25,25,0,Flyweight,False,False
74,Lerone Murphy,Edson Barboza,32,38,1,Featherweight,False,False
74,Edson Barboza,Lerone Murphy,38,32,0,Featherweight,False,False
75,Khaos Williams,Carlston Harris,30,36,1,Welterweight,False,False
75,Carlston Harris,Khaos Williams,36,30,0,Welterweight,False,False
76,Themba Gorimbo,Ramiz Brahimaj,33,31,1,Welterweight,False,False
76,Ramiz Brahimaj,Themba Gorimbo,31,33,0,Welterweight,False,False
77,Adrian Yanez,Vinicius Salvador,30,27,1,Bantamweight,False,False
77,Vinicius Salvador,Adrian Yanez,27,30,0,Bantamweight,False,False
78,Angela Hill,Luana Pinheiro,39,31,1,Women's Strawweight,True,False
78,Luana Pinheiro,Angela Hill,31,39,0,Women's Strawweight,True,False
79,Tom Nolan,Victor Martinez,24,32,1,Lightweight,False,False
79,Victor Martinez,Tom Nolan,32,24,0,Lightweight,False,False
80,Oumar Sy,Tuco Tokkos,28,33,1,Light Heavyweight,False,False
80,Tuco Tokkos,Oumar Sy,33,28,0,Light Heavyweight,False,False
81,Melissa Gatto,Tamires Vidal,28,25,1,Women's Bantamweight,True,False
81,Tamires Vidal,Melissa Gatto,25,28,0,Women's Bantamweight,True,False
82,Abus Magomedov,Warlley Alves,33,33,1,Middleweight,False,False
82,Warlley Alves,Abus Magomedov,33,33,0,Middleweight,False,False
83,Ariane Carnelossi,Piera Rodriguez,31,31,1,Women's Strawweight,True,False
